טלפון,שם חברה,סוג קופה,מייל
*2000,מנורה,פנסיה,pidyonsochen@menoramivt.co.il
*2000,מנורה,פנסיה,pensia@menoramivt.co.il
*2000,מנורה,פנסיה,sherutgemel@menoramivt.co.il
*2000,מנורה,גמל,ccgemel@menoramivt.co.il
*2000,מנורה,גמל,pidyongemel@menoramivt.co.il
*2000,מנורה,ביטוח חיים,moked-life@menora.co.il
*2000,מנורה,מנהלים,lifeIns-m@menora.co.il
*2000,מנורה,מנהלים,desk-haim@menoramivt.co.il
*2000,מנורה,מנהלים,sherut@menoramivt.co.il
*2000,מנורה,הלוואות,hakvaot@menoramivt.co.il
*2000,מנורה,החלת וותק,pensia@menoramivt.co.il
*2000,מנורה,כל פעולה,negishut@menoramivt.co.il
*2000,מנורה,כספי נפטרים,yorshim@menoramivt.co.il
*2000,מנורה,תביעות פנסיה,desk-haim@menoramivt.co.il
*2000,מנורה,תביעות ביטוח,tviotlife@menora.co.il
*2000,מנורה,אובדן כושר עבודה,nehut@menoramivt.co.il
*2000,מנורה,תביעות שארים,tviotlife@menora.co.il
*5054,אלטשולר שחם,פנסיה,meshichotpension@altshul.co.il
*5054,אלטשולר שחם,גמל והשתלמות,sherut@altshul.co.il
*5054,אלטשולר שחם,גמל,meshihotg@altshul.co.il
*5054,אלטשולר שחם,לכל פעולה/ השלמת מסמכים,sherut@altshul.co.il
*5054,אלטשולר שחם,לכל פעולה,public@gemel-pension.altshul.co.il
*5054,אלטשולר שחם,תיקוני ריג'קט,reject@altshul.co.il
*5054,אלטשולר שחם,תיקוני ריג'קט,normandy@altshul.co.il
*3366,מיטב דש,פנסיה,gemel-p@meitavdash.co.il
*3366,מיטב דש,גמל,gemel-p@meitavdash.co.il
*3366,מיטב דש,קרן השתלמות,gemel-p@meitavdash.co.il
*3366,מיטב דש,פניות לא מטופלות,m.service@meitav.co.il
*3455,הפניקס,פנסיה,f1@fnx.co.il
*3455,הפניקס,ביטוח חיים,f1@fnx.co.il
*3455,הפניקס,ביטוח מנהלים,sherutlife@fnx.co.il
*3455,הפניקס,גמל,service_gemel@fnx.co.il
*3455,הפניקס,ברור סטטוס,mpvip@fnx.co.il
*3455,הפניקס,לכל פעולה,fundsd@fnx.co.il
*3455,הפניקס,חסכון לכל ילד,gemel_tash@fnx.co.il
*3455,הפניקס,השתלמות,gemel_tash@fnx.co.il
*4544,מור,לכל פעולה,sherut@more.co.il
03-6868000,רום,קרן השתלמות,sherut-m@krm.co.il
*2735,הראל,פנסיה,pidyon@harel-ins.co.il
*2735,הראל,פוליסה,agafhaim@harel-ins.co.il
*2735,הראל,גמל והשתלמות,mfax@harel-ins.co.il
*2735,הראל,חסכון לכל ילד,mfax@harel-ins.co.il
*2735,הראל,עיקולים,ikul.pensia@harel-ins.co.il
*2735,הראל,לכל פעולה,wecare@harel-ins.co.il
*6667,עמיתים,לכל פעולה,amitimmail@amitim.com
*6667,עמיתים,לכל פעולה,ginandis@amitim.com
*6667,עמיתים / מבטחים,לכל פעולה,pdyonot@amitim.com
*6464,כלל,פנסיה,pensia@clal-ins.co.il
*6464,כלל,גמל,faxpidyongemclal@clal-ins.co.il
*6464,כלל,גמל,servicepg@clal-ins.co.il
*6464,כלל,גמל והשתלמות,037965659@clal-ins.co.il
*6464,כלל,פוליסה,claldocs@clal-ins.co.il
*6464,כלל,לכל פעולה,yipuyyashir@clal-ins.co.il
03-9201010,מגדל,פנסיה,mokedpe@migdal.co.il
03-9201010,מגדל,גמל והשתלמות,mokedge@migdal.co.il
03-9201010,מגדל,פוליסה,mokedbi@migdal.co.il
03-9201010,מגדל,תביעות,makefetclaim@migdal.co.il
03-9201010,מגדל,תביעות,haimtviot@migdal.co.il
03-9201010,מגדל,תביעות פטירה,ptiratviot@migdal.co.il
03-9201010,מגדל,תביעות נכות מעבודה,nehuttviot@migdal.co.il
03-9201010,מגדל,תביעות תאונות אישיות,tviotpersonal@migdal.co.il
03-9201010,מגדל,תביעות פנסיה,makefetclaim@migdal.co.il
03-9201010,מגדל,כספי נפטרים/ קצבה,mokedgimla@migdal.co.il
03-9201010,מגדל,לכל פעולה,sochnim@migdal.co.il
03-9201010,מגדל,לכל פעולה,migdal_changes@migdal.co.il
03-9201010,מגדל,פניות לגרושים,pniyotgerushim@migdal.co.il
03-9201010,מגדל,השלמת מסמכים,migdal_hafakot@migdal.co.il
03-9201010,מגדל,הורדת עיקולים,ikulimpniyut@migdal.co.il
03-5651093,גל/ כלנית,גמל,meshichot@malam-lts.com
03-5651093,גל/ כלנית,גמל,gal@malam-lts.com
03-7700007,מינהל,קרן השתלמות,service@minhal.org
*3488/ 09-9579000,אינפיניטי,פנסיה,pensya@infinity.co.il
,קו הבריאות,קופת גמל,moked@kavb.org.il
*2135,עתודות,פנסיה,pensia@atudotvatika.co.il
*5339,למורים וגננות,קרן השתלמות,
*6646,אנליסט,קרן השתלמות,gemel@analyst.co.il
03-7132323,ילין לפידות,קרן השתלמות,meshicha@yl-invest.co.il
